Sentencias;label
If I could just ask, on one level my attention was piqued by Senator Stevens, who mentioned Vigilant, and I wondered, where was Vigilant when you reported aboard?;N
It was my very first tour as a new ensign graduating from the Coast Guard Academy in 1968.;N
I was also a first lieutenant for a brief period of time, and we could tell sea stories, I am sure.;N
First lieutenant on the Vigilant and spent many chilly days going through Pollidip Channel in the middle of the winter.;N
On September 10th, Senator Snowe and I, and other Members of the Committee were particularly concerned, and I know as Vice Commandant you heard us ask these questions to the Commandant, Admiral Loy.;N
"The ability to interdict narcotics, which is increasing because there are so many more Americans with addictions, is important; also, the increasingly difficult task of enforcing the fisheries, which is critical in all sectors of our oceans because of the overfishing is also paramount.";N
The more the regulations get tough and try to bring the stocks back, the more important that policing ingredient becomes.;N
But by his own admission, Admiral Loy made it clear to us that the response to September 11th required a cannibalizing of each and every one of those activities.;N
There was not one activity that did not require a redeployment, particularly for the long-term port piece, though some of that has been transferred.;N
So the question for a lot of us is, if I look at the numbers here, I know the President has increased the budget, but a significant amount of this increase is related to non-;N
In other words, not all of this large sum of money is going to go into any of the tasks that I just described.;N
About $736 million is going to payment into the military retirement fund, which we all know is critical.;N
I think $504 million of $1 billion sought for operating expenses is going to current retirement and other benefits and other pay increases and personnel entitlements, which total about $193 million.;N
So that leaves only $303 million out of this entire increase to fund new initiatives and enhance the other missions.;N
I know there is always a can-do attitude and I know you are going to have to say yes, but I would really like to examine this reality.;N
Clearly, in the wake of 9/11, we threw everything but the kitchen sink, including the kitchen sink, at the security issue in the immediate aftermath of 9/11.;N
Since that time, we have been gradually pulling back those resources that were pulsed in to beef up that mission to create a greater state of normalcy relative to the other missions.;N
Clearly, in the case of New England, for example, the first and second quarter of this year saw a rapid decline in the amount of ships devoted to fisheries enforcement off the Massachusetts coast and other areas experienced the same thing.;N
Counter-drugs, fisheries enforcement, and offshore migrant interdiction were those areas where those high end resources were carved out.;N
Based upon direction from Admiral Loy last fall, operational commanders were directed to start moving those resources back into those traditional missions that we peeled them off from.;N
We expect, with the support of the 2003 budget, which we are very pleased with, Mr. Chairman, there is a 20 percent increase in our operating expense appropriation, the largest increase that we have seen in our recent history.;N
There is an increase of 2200 people in this budget, another significant incremental increase.;N
That compared with the 2002 supplemental that we received, which restored some of the cuts in the 2002 budget--if you recall, there was a 15 percent operational reduction within the 2002 budget as it passed last summer.;N
It allowed us to pay the reserves that we called up and also provided for select new initiatives.;N
We expect the second supplemental to come forward from the Administration shortly that will help to keep that momentum.;N
So between that 2002 supplemental and 2003, we have seen some of the most significant incremental increases that we have seen in modern history.;N
About $430 million or so of the $730 million incremental increase in the operating expenses is going into homeland security initiatives.;N
That is the combination of annualizations of 2002 supplemental into 2003 plus new initiatives in 2003, for a total of about $430 million.;N
But there is search and rescue investments that is in the 2003 budget, for example, another 138 or so individuals being put into search and rescue stations, investments in small boats.;N
Between 2002 and 2003, we will have 70 to 80 more small boats that will be introduced in our service because of the support of the 2002-2003 supplemental.;N
Also, if you include the National Distress Modernization System, there is a $90 million capital investment in the 2003 budget for that.;N
So we think there is real solid investments, sir, that will start a multi-year ramp-up for us to deal with both our traditional missions and the homeland security missions.;N
Quite frankly, we would be hard-pressed to bring aboard more than 2200 people in 1 year, between 2002 and 2003.;N
In order to realize a net gain of 2200 people in those 2 years, we have to attract about 4800 new people into the Coast Guard, considering attrition and so forth.;N
So all in all, I think we are going to do well with the 2003 budget and the supplemental, and when we get to sort of a steady state as they play out, we will be within about 5 percent of those other missions, probably 5 or 6 percent off on meeting the traditional programmed hours in those other missions.;N
Clearly, if you talk to the CNO in the Navy and you ask him what his job one is, he would probably tell you manpower.;N
I think it is all the services' challenge to attract capable men and women and keep them in the service.;D
We have seen in the last 6 months a turn-around a little bit in the retention, a positive turn-around up to 5 percent improvement, depending how you read the numbers.;N
"I think it is a combination of maybe the economy, No. 1; No. 2, the realization of the relevancy of our mission and what it contributes to the Nation.";N
Third, I think people recognize that we are an organization who care very much about our people.;N
We are going to continue to do that and we are going to invest in training and education and professional development.;N
We have increased our sea pay, for example, a tiered sea pay, a bonus system that will make going to sea attractive for our men and women.;N
Talking to our Master Chief of the Coast Guard just the other day, he really felt that what is resonating with the men and women of the Coast Guard and the other armed services is that Congress, the Administration, the American people are paying attention to the needs of our armed forces by making pay and compensation a high priority.;N
If you look at the medical benefits, if you look at the pay and the housing benefits that have come to pass over the last several years, they are making a difference.;N
I would urge to keep the pressure on in that regard because I think it is resonating and it will turn some of these numbers around.;N
I mean, I know you indicated a little bit of an upturn, but do you sense that we are doing enough or is there more you would like to see us do?;N
I mean, if you had your druthers here and speaking on behalf of those folks now, do you think we should be approaching this differently?;N
I think the professional development training is an area that we still can make some gains on and it is very relevant, professional development training is very relevant to the new generation of people coming in.;N
We have just got to keep the pressure on there, keep improving our pay and compensation, the housing for example.;N
pocket costs for housing, BAH, has been a major push and that is gradually going to get better and better for our men and women.;N
I think we cannot just draw a conclusion on one data point of 3 or 4 months, but I think over time we are going to see that the attention that Congress and the Administration has paid to pay and compensation for our men and women and their professional development will pay off in the high quality armed forces.;N
I agree with that, except that I have heard from some people that, notwithstanding what they sense are some good opportunities in that regard and may be improving, the time, the deployment time itself, is sort of a cruncher, and even in some of the boat stations on the coastline, summertime deployment, etcetera, there is just an on versus off ratio that is really tugging at some people.;N
Some of our investments in the 2002 budget and the 2003 budget in terms of increasing the personnel at search and rescue stations is all about reducing that work hours at station.;N
You know, we are creating these Maritime Safety and Security Teams, four of them through the 2003 budget, teams of 70 active duty people plus additional reservists.;N
They will be located at selected areas around the country to provide search operations for security, safety, aftermath of hurricanes, and the like.;N
They will, in effect, be also an investment in our search and rescue stations because they ease the pressure on those search and rescue stations to provide those kind of skills.;N
So it is another presence, a presence in our coastal waterways, that eases some of that OPTEMPO, PERSTEMPO pressure on our stations.;N
Last year we appropriated, I think, about $290 million for the Deepwater Asset Refurbishment and I think this year there is a $500 million request.;N
Are we thinking in terms pre-September that perhaps should be changed now because of the demands for port security, inspection, Customs, Immigration, all those components?;N
Our answer is that we think the Deepwater Project is right smack dead on center in the type of capability we need for homeland security and for other missions.;N
I would submit that counter-drugs is part of homeland security, protecting our borders is part of homeland security, pushing our borders out is part of homeland security and a wonderful strategy for us to pursue.;N
The Deepwater Project is a C4ISR, a command and control, information-centric procurement, a system of systems.;N
The central feature of that is giving us sensors, communication capability, and interoperability, the ability to interdict, detect, surveil, classify, prosecute cases at sea.;N
It is just the type of capabilities that we need to embed for homeland security, including counter-drug ops and others.;N
What do you hope to be known for as Commandant if there is sort of one overriding thing, beyond being a great Commandant because you come from Massachusetts?;N
If you recall, his two broad themes are restoring readiness and shaping the future, with several sub-objectives.;N
I think if our motto is ``Semper Paratus'' and we do not have readiness as part of our vision, there is something wrong.;N
Readiness, taking care of our people and being good stewards of the American taxpayers' interest is what I would like to be known for.;N
In keeping with that, I would like to be known that we have got the Deepwater Project off and running with a bang, that it is well situated, a strategic partnership established with the winning contractors, and that project is producing good things for us, as well as the National Distress and Modernization System Project that, as a previous group commander, I know how vital that capability is to the public in our coastal waters.;N
We need to do that one right and we are going to do that one right, and we are going to address all those gaps that you are concerned with.;N
That is going to be a wonderful system, giving us 98 percent in the performance standard, 98 percent chance of connectivity in terms of communications.;N
And oh, by the way, that is higher than what your average police and fire department and for public safety operations.;N
So I would like to be known to get those two projects off and running, taking care of our people, increasing our retention, and preserving our operational excellence and readiness, sir.;N
Admiral Collins, just to follow up on the budget issue, are you comfortable with the billion dollar increase?;N
I think, Senator Snowe, along with the supplementals, the 2002 supplemental and the forthcoming supplemental, that we expect to be submitted shortly, it will give us that first year increment of a 3-year plan or so that we are developing to build out homeland security competence and capability while taking care of the rest of the mission.;N
It is an evolving plan, as everything is in the wake of 9/11 because it is a new world, new realities that we are building to.;N
I think what you can expect to see ultimately in a 2004 or 2005 budget as it rolls up is some of the very same things that appear, just a continued buildout of those same things that appear in 2003.;N
For example, Sea Marshalls, the Sea Marshall concept to ensure the positive control of vessels in our waterways, which is a major goal of our strategic plan.;N
Another major goal is Maritime Domain Awareness, that concept where we have clarity and visibility in our area of responsibility of people, cargo, and platforms, so that we can take preventative action, not consequence management action.;N
But significant investments in communications, secure communications, intelligence, and so forth, that is part of that MDA, or Maritime Domain Awareness.;N
That gives us another part of our strategic goal, which is presence, increased presence in our ports for deterrence and response capability.;N
Also, protection of critical infrastructure and force protection for our own men and women, things like weapons, ammunition, chemical, biological, and radiological detection, protection equipment.;N
Those are the kind of things that you would expect to see, in addition to outreach and partnership, goal five of our strategic plan, with industry and with other government agencies, local agencies.;N
This requires the most important features--collaboration and outreach, and I would submit not only domestically, but internationally.;N
One of the reasons why Admiral Jim Loy went over to IMO last fall and addressed the general assembly and got a unanimous resolution to aggressively pursue internationally enhanced security for shipping, because part of this an international threat and part of the solution has to be an international solution.;N
Let's turn to the whole modernization program, such as Deepwater, as well as the National Distress and Response System.;N
First of all, with Deepwater, do you think there should be any modifications to that program as a result of September 11th?;N
The way the requirement is defined and the way the structure of the contract will be set up, if adjustments need to be made I think they will need to be made on the margin.;N
But I see there may be some adjustments, but adjustments on the margin, that the basic feature of Deepwater, which is a system of systems, which is information-centric, which is all about coordinating our aircraft and our surface assets so they work as a system and a network, is the very thing that homeland security calls for.;N
As the Chairman mentioned about the National Response and Distress System, there are still existing gaps.;N
We are going to be hearing testimony in subsequent panels about the Department of Transportation IG report which stated that there are still going to be gaps across this country.;N
The original purpose of this initiative was to address and correct all the gaps in the system.;N
Now we are modifying it because of the cost, but at the same time we are back to where we started in many ways.;N
The approach, Senator, to the project is not to take the existing system and say these were the gaps and let us go plug them.;N
What it is is taking a more blank sheet of paper and redrawing, reconfiguring the entire system with a brand new buildout that gives you digital capability, direction-finding capability, and so forth.;N
Atlantic City, Group Atlantic City, for example, will be one of the early initial operating capabilities.;N
Each one of those areas, the industry will come in, the winning contractor will come in and do a detailed survey of that area, and then look at where he has to site towers and so forth to ensure he meets the performance requirement of the contract.;N
The performance requirement of the contract calls for 98 percent probability of communications.;N
The contractor is going to have to meet those minimum performance standards region by region by region as it is built out.;N
The way it is being built out, there is one region built on and then the next adjacent region is built out, so we build off the tower structure of one region against the other region to the other region.;N
We want 98 percent connectivity, and I think that is what we are going to get when this gets awarded.;N
I certainly hope that you work with this Committee on that issue, because I think we have to make sure that we provide the kind of communications coverage that is essential.;N
I would be glad to provide a brief to your staff, you or your staff, on the details of that as you desire, Senator.;N
This is another area which I really do think we have to address in terms of the operations tempo.;N
I know I have talked to my station in Eastport, and I know the demands that have been placed on them and the long hours.;N
It needs to be addressed and we have to rectify it, because it is a matter of safety and providing for the safety on our coastal waterways.;N
I do know the OPTEMPO rates are obviously very high and so we need to take corrective action on that score for the future.;N
Yes, Senator, clearly whatever shortfalls we had at the stations were exacerbated by 9/11 and the OPTEMPO that we push ourselves toward to meet the security needs of our ports and waterways.;N
I think the 2002 and 2003 game plan and along with out years for search and rescue meets many of the previously discussed issues associated with our search and rescue stations, whether that be boat readiness or whether it be amount of people and so forth.;N
The 2002 budget provided close to 200 people, additional people for our search and rescue stations.;N
The 2003 budget provides 138 people additional to be distributed to our search and rescue stations.;N
In addition, there is another increment of, I think, about 30 or so, if I have got the numbers right, for our groups, the command centers, our Coast Guard groups.;N
In addition, I will state again, those maritime safety and security teams, those new units that we are creating six through the 2003 budget, that is 498 people going into those teams around the country.;N
They represent boatswain mates, MKs, and the like that are going to be operating boats in coastal areas.;N
So a combination of the plus-up in the SAR station plus the maritime safety and security team will move us a long way along solving some of those OPTEMPO, PERSTEMPO problems, Senator that you mentioned.;N
We appreciate it and we know that you are going to provide remarkable leadership in the future, and it is certainly indicative of the kind of career that you already have amassed.;D
"Notwithstanding the increases, the increases are going to an increased set of responsibilities; is that correct?";N
In other words, the increases you have just talked about, the new personnel, the 2200, are being divided and 400-plus some are going directly into the special security.;N
But others are going to be going into port security and these other security demands, correct?;N
What happens to you getting into May and proceeding forward in the next months on that station demand, plus the new responsibilities, when already prior to September 11th you did not have enough people to do everything we were asking you to do?;N
An additional increment is going in to provide the fourth crew member for our new 47-foot MLB.;N
This Committee is completely bipartisan to making sure that the Coast Guard has the resources it needs.;N
I think we have been, frankly, one of the loudest and most persistent voices on a bipartisan basis over the years for what we think has been an underfunding of your important agency.;N
So we hope you are going to be frank with us as we go forward here, because these responsibilities are critical.;N
Senator Snowe and I feel very deeply about the inadequacy of the monitoring of the fisheries.;N
It is just inadequate, and we are going from 88 days maybe down to 22, depending on what happens here in New England in the groundfish fishery.;N
The havoc that is going to create among our fisherpeople and the pressures it is going to create, frankly, for people that go look outside of those parameters.;N
If we do not have sufficient enforcement mechanism, we are not going to make those stock goals.;N
So it is really crunch time and I think 9/11 sort of woke people up to the extraordinary demands and the number of waterway, port security issues that we face.;N
Maybe all of it does not have to fall on your agency and, needless to say, a lot of it will not as we sort of hone this, though it would be helpful for us to hear from the person in charge of it so we could begin to understand exactly how those demands are being divided, which is another issue, not for us here at this moment.;N
So we are going to work with you and hope you will work with us as we try to figure out what is necessary.;N
I think homeland security is our narcotics effort and I think homeland security is also our protection of our ecosystem.;N
But the nefarious networks that use the narcotics trafficking channels are the very same people what also provide illegal passports, illegal visas, money accounts that are hidden, who play to the proliferation issues, and so forth.;N
So your ability to perform that function in my judgment is at the front line of any homeland security effort, and we need to make certain that that $37 billion is enough to do some of the other things we may choose to do.;N
Is there any conflict that the Committee should be aware of that might in any way affect the performance of your responsibilities as Commandant?;N
Do you agree to appear before the Committee at such time as the Committee duly sends you appropriate request to do so in the course of your tenure?;N
Assuming we can move your nomination very rapidly, and we are going to try and do that--we will hold a Committee meeting off the floor of the Senate, hopefully, to be able to move it to the floor rapidly.;N
Assuming we are able to confirm you this week, when would this change of command take place under those circumstances?;N
We thank you very much for the job you have done as a prelude to this enormously important job you are about to do.;N
We hope you will feel the Committee is available to you to be as cooperative and as thoughtful as possible as we try to resolve these important issues for our country.;N
It has been a pleasure to appear before you today and I do look forward to working very closely with the Committee.;N
It's my pleasure to convene this hearing today to consider the nomination of Dr. James Mahoney to be the Assistant Secretary for Oceans and Atmosphere and Deputy Administrator for the National Oceanic and Atmospheric Administration.;N
He's joined today, I gather, by his wife, Taya, back there with his twin daughters, Caitlin and Courtney, and daughter, Deborah, and sons, James and Robert, who I've just been informed are good constituents of mine in Massachusetts.;N
I was telling your father a moment ago that, given his roots in Massachusetts 25 years long, we probably don't need a hearing, but we're going to do it anyway.;N
I'm also very happy to welcome Deputy Secretary of Commerce, Sam Bodman, also from Massachusetts, and NOAA Administrator, Admiral Lautenbacher.;N
We're delighted to have you here, and thank you for taking time to be here in support of the nominee, which we note.;N
Let me just say very quickly that we want to try to expedite the hearing and that Senator Gregg has a pressing commitment upstairs, so we'll try to move along fast, but I don't want to shortchange the importance of this job.;N
NOAA really came into existence due to the great efforts of our Chairman of this Committee, Senator Hollings, in 1970, and its purpose was to protect life and property from natural hazards and also to help us understand the total environment and lead to intelligent use of our natural resources.;N
There's an annual appropriation of over $3 billion, which represents 60 percent of the budget of the Commerce Department--12,000 employees.;N
Many people, former secretaries, have come before us--and I think particularly of Ron Brown and Bill Daley and others in the past--they're always shocked to learn that the Commerce Department has a Navy as well as this extraordinary responsibility.;N
More than 30 percent of the gross domestic product of our country is generated in the coastal zone, and 40 percent of all the new commercial and residential development is along the coast.;N
Predictions are that in about 20 years, 75 percent of all Americans are going to live in coastal areas, so we have an enormous burden on us, and the marine-related protection issues are huge.;N
Senator Snowe and I would particularly wish that the councils would be able to manage these things.;N
And last year we landed roughly--this is an extraordinary statistic--we landed 9 billion pounds of fish with a value of about $3.5 billion.;N
And I'm pleased to say that New Bedford has returned to its status as the number-one fishing port, in terms of dockside revenues, with over $146 million in landings.;N
We have troubles in almost every one of our own fisheries surrounding the United States, from the salmon in the Northwest to the tuna to the Gulf of Mexico to the migratory species off the Atlantic coast and obviously, Georges Bank.;N
And then on the outside, you have all of the weather prediction in which, I must say, NOAA does an extraordinary job.;N
They were so accurate, even as it twisted and turned, giving people notice, which was important to saving life and property.;N
And you come with, I must say, a terrific background and a terrific set of preparations for it.;D
And obviously in the Pacific Northwest, where we now have the highest unemployment rate in the country, we care tremendously about the issues that Senator Kerry has talked about.;N
We have got to get the right number of fishers out there at the right time, catching the right number of fish to make this industry sustainable.;N
At the same time, we want to make sure that we don't shortchange science in the conservation issues that are so critical.;N
As I told you yesterday in our meeting, Dr. Mahoney, I'm going to support your nomination here this morning.;N
We want to see you work with Bill Hogarth, who has been very forthcoming in our region, in terms of working with us, and getting results.;N
We've got to have a buy-back program that gets the right number of people at the right time, in effect, doing the things that are based on sound science.;N
Second, we want you to follow up on a promise that NMFS made to me personally and the people of our region to do something about this bycatch issue.;N
There are pictures of huge numbers of fish coming as a result of inadvertent catch to the shore, and they're being thrown away.;N
It is a real disgrace, and the agency has promised action on it, and it has not been forthcoming.;N
I'm particularly pleased Senator Gregg is here, actually, to hear both of these comments, because he has a critical role in the Congress as one of our chief appropriators.;D
One of the most difficult aspects of resolving the protection of fisheries--and obviously, New Hampshire is a participant in this--is finding a sensible way to reduce the fishing effort.;N
And we've tried to augment the buy-back program so we literally get people out of fishing.;N
Other countries are doing that to smart avail, and I think it's something we really need to think about expanding the program.;N
There's just too much money chasing too few fish, and we need to have a balance in it, and that seems like an equitable way to reduce people who've been at it for generations but who are prepared, perhaps, to sell their equity in it.;N
Senator Gregg, thank you for taking time to be here, and we look forward to your introduction.;N
It's a pleasure to be here today and join the Committee in welcoming Dr. Jim Mahoney, who is being put forward for the NOAA position.;N
I consider it to be one of the true jewels of the federal government in that it is a science agency that does extraordinary work and is on the cutting edge of science that is critical to us as a nation and our survival, not only economically, but internationally and in a lot of strategic ways.;D
And, of course, it's critical to the protection of the American people because it does warn us when tornados are coming and where hurricanes are going to hit.;N
I have had the good fortune to be serving on the Subcommittee on Appropriations, and be Chairman of that Committee and now Ranking Member on it, which has jurisdiction over NOAA.;N
The Senate has always been an aggressive supporter of NOAA, as the Chairman of this Committee has been.;N
Not only the Chairman of the subcommittee, but the Chairman of the Full Committee have been key players in making that sure that NOAA receives the funding support it needs.;N
And the successes of NOAA will continue if it continues to attract people like Dr. Mahoney.;N
And it's wonderful to see Taya and Caitlin and Courtney here, who are great enthusiasts and who we enjoyed as neighbors.;N
Unfortunately, they moved away just a little while ago, but they brought a lot of life and excitement to our street.;N
And as a result of getting to know the Mahoneys personally, I can say, without any sort of qualification, that he will be an extraordinary asset to the government.;D
The fact that he's decided to rejoin the government, I think, is a great plus to us as a government.;D
The fact that a lot of his knowledge and base and experience comes from Massachusetts is only an extra plus.;D
Having an MIT degree in meteorology and being past President of the American Society of Meteorology and then teaching at Harvard for a number of years--I think almost 20 years, he also has an expertise in the private sector.;D
He appreciates the needs of the private sector as they integrate with the scientific community.;N
From my viewpoint, as I say, we are fortunate to have people like this who are willing to go back into public service, people like Dr. Mahoney.;D
I know he'll be a tremendous addition to NOAA, and I look forward to working with him in the appropriating process to make sure that NOAA receives the support it needs in order to continue to do its mission which is so critical for our country.;N
I'm confident that all the interested parties in this area will be even more delighted to know that since you're on the Appropriations Committee, this special personal relationship will do well for the agency.;N
Let me just say to everybody we do have a hearing coming on at the conclusion of this nomination hearing on the important subject of CAFE standards, so we're going to try to expedite this as rapidly as we can, and I'm sure you won't object to that.;N
I appreciate your comments, and I think every Member of the Committee would agree that the description of the involvements that you've had could not more effectively prepare you for the task that you're going to undertake here, so we certainly welcome that.;N
Is there any item or issue that the Committee should be aware of that might present you with any kind of conflict of interest in the performance of these duties?;N
And in the course of the preparation for this, is there any holding or asset that you've had to divest of in order to put yourself in a position to perform these responsibilities without conflict?;N
So it sounds like you're commending yourself also for your good judgment because you don't hold Enron or K-;N
Have you and the Administrator, Admiral Lautenbacher, divided up how you're going to proceed, in terms of the management issues?;N
I mean, can you tell the Committee what particular responsibilities at this point you will be assuming, versus he?;N
Let me also add to that the question--he obviously comes with a background with respect to the ocean component of this.;N
I think some of us are concerned about where the live marine resources fit in between the two.;N
I have a couple more questions, but I appreciate what you've just said, and I think it probably makes the most sense to have that kind of deputy relationship where there is cross-fertilization.;N
The key concern to this Committee--I mean, in the 18 years that I've been involved with the fisheries issues--and Senator Hollings, a lot longer, and Senator Stevens and Senator Inouye and others on this Committee--there's been a deep disappointment.;N
You know, each year that we do the Magnuson or each year that we structure--every few years when we do it--we wrestle with this question of keeping the democracy of the councils where local input, local decisions, are able to be made and people are really controlling their own destiny, balanced against the inevitable, parochial tensions that prevent decisions from being made at all.;N
And to some degree the predicament of our fisheries on a national basis is the unwillingness of people to resolve those issues and bite the bullet.;N
A number of years ago, we empowered the Secretary--and obviously you, through the Secretary--to intervene in a way that makes the difference.;N
But I wonder if you'd just comment quickly on that, because there is a frustration, and we are going to be doing Magnuson again, and we need to come to grips with this issue.;N
Let me just say to everybody we want to try, if we can, to expedite so we can get into the CAFE hearing.;N
Speak for a minute, if you would, to those fishing families, say, on the Oregon coast, like in Newport.;N
They are looking to deliver a buy-back program so that you get the right number of people at the right time, catching the right number of fish, so that there's a sustainable resource.;N
And obviously I'm just looking to see that you've got a commitment and that you're going to follow up.;N
This question of bycatch is critical because a tremendous number of fish are being wasted.;N
It's an incredible public disgrace at a time when we don't have all the fish that we need for any kind of a sustainable resource.;N
What are you prepared--again, on the basis of the fact that you can't make any specific commitments--to do, in a general way, to follow up on this issue?;N
If and when you're confirmed, and you'll have my support, can I get a call from you in 2 weeks to give me more specifics on both of these questions?;N
Well, that's a surefire way to get confirmed is to bring two young ladies like that to our hearing.;N
I did want to mention one issue to you, and I'm not doing it in a way that's unfair to you.;N
I know that you will not have known of this or studied it, but I know that Admiral Lautenbacher is in the room, and I believe Sam Bodman is here.;N
We've had a long, tortured problem between the National Weather Service, NOAA, and Williston, North Dakota.;N
They didn't put very many of them up in our part of the country, so the one that serves northwestern North Dakota and northeastern Montana is in a place called Deering, North Dakota.;N
These low-formation, quick-moving winter storms are killer storms, and yet we were going to be left out of radar coverage for those kinds of storms with NEXRAD.;N
And so the weather service at first denied it, but all the experts studied it and said, yes, this is an area of significance.;N
So they've kept the Williston weather radar open for the last 4 or 5 years until they complete all these other studies.;N
The people they've interviewed to try to replace them, the weather service has said to them, ``By the way, you know, we might shut this down in the future, and we don't pay moving expenses, so we're interviewing you for a job you might not want to take.'';N
I think there's been a lack of good faith here on the part of some people, and I'd like to work with you and with Admiral Lautenbacher and Sam Bodman to see if we can resolve this.;N
Williston, North Dakota, and the people who are ranchers and others who live in that part of North Dakota and Montana have as much right to accurate and good weather forecasting and weather radar as someone in New York or Chicago.;N
But, in fact, it is not the case with the NEXRAD system, and we have, frankly, not had the kind of help that I would have liked from the National Weather Service and NOAA in the past several Administrations.;N
I just received a call again yesterday, and I was surprised again by the latest information.;N
Thanks for bringing your daughters to this hearing, and I look forward to working with you, Dr. Mahoney.;N
Why do you suppose that there is still a large body of opinion in America that refuse to recognize this reality?;N
I hope you'll give this issue the priority that it deserves, which is the highest priority.;N
Finally, do you believe that the oceans of the world are becoming polluted to an alarming degree?;N
Mr. Chairman, I just want to follow up Senator McCain's line of questioning and thank him again for being very bold on a number of questions and daring to tread in certain areas that otherwise might not think that someone in his party would do.;N
And even though it doesn't dramatically affect his state of Arizona, it sure affects my state of Florida, because the rise of the oceans, the increase of the temperature, the increase of pestilence, the increase of tremendous storms called hurricanes, and so forth.;N
And, you know, we'd best get about the process of recognizing that, in fact, we do have a problem and stop sticking our heads in the sand.;N
You have a tremendous background, educationally, with a Ph.D. in meteorology, and that's going to be very important to your work over there.;D
I was just wondering, do you have an idea, with Admiral Lautenbacher, how you all are going to divide up the fisheries areas?;N
But also in the fisheries areas, which is important, as well, have you all had discussions on how those areas are going to be divided up?;N
I think that while you are an expert in weather and you know the violence of a summer thunderstorm, I would suggest that you really haven't seen anything violent until you've been through a shrimp meeting on the turtle excluder devices in south Louisiana.;D
I think all of that said, a few years ago, I commented to somebody that if you ever wanted to do a perfect study on government regulatory process and the difficulties and the varied forces pulling and tugging, the fisheries are perhaps one of the most ideal.;N
But what is not complicated is understanding that the consequence of the inaction that comes from not making some choices between those tensions is disastrous.;N
Now people are going out and catching, you know, regulation-size stripers, and we brought it back.;N
And we're going to now move into a component of the morning's business that reflects questions of Senator McCain and Senator Nelson's concern, which we all share.;N
There's been a lot of procrastination about how we ought to make some choices with respect to emissions and global gases, and a lot of people's patience is wearing thin on it.;N
But we really do look to you for leadership and guidance with respect to those issues also.;D
We have worked very hard on this on the Committee and I will be frank to say that there were some of us who at the beginning felt that the law enforcement aspect of this ought to be done through the Department of Justice, not out of any lack of consideration for the Department of Transportation, just because the Department of Justice obviously had more law enforcement experience at a deeper level.;N
It did not work out that way and we are not disappointed in that because the responsibility now rests under the law with the Department of Transportation and with you, sir, as the person who will be in charge of that.;N
I will say that I think all of us on this Committee believe that the status quo is not acceptable.;N
But anybody who boards planes in West Virginia has the same right, it seems to me, to security as somebody who boards a big plane in Chicago or some other place.;N
We did that because we think that it is part of what our responsibility to take a system which is accustomed to operating more or less at a certain level and saying, no, this is different, September 11th changed the world and it is going to change all of us.;N
It certainly has changed the way we have and have not done business in the Congress, and it has to change the way everybody operates.;N
You obviously face a lot of very critical deadlines, by putting out new screening employee standards right away and screening every ongoing passenger aircraft by mid-January--that is a deadline of pressure.;N
That is the one thing we cannot accept and I think that is the one thing where we will be very nettlesome in the national interest.;N
During the Second World War it was really stunning the way factories all of a sudden sprung up and they were producing tanks and airplanes, and they had been producing other things before and then like that, all of a sudden, women were in the workforce.;N
It is much more complex, and in a sense it has given the country a chance to say: All right, let us prepare ourselves for the next 25 or 40 years because we think this is what we are going to be facing, so we better do it right and we have to do it fast, because 2 years from now, if something happens 2 months from now, is not good enough.;N
The hiring, training, and deploying of more than 30,000 people, that is not going to be easy.;N
New technologies, new systems, that will be perhaps more easy, but needs to be hurried along.;N
What is the relationship between screeners and intelligence agencies within our own country and other countries in terms of monitoring a suspicious passenger.;N
We know, for example, that you are going to have to purchase a thousand new EDSs, and they are meant to be a million dollars apiece.;N
It was all about biometrics and that is the whole interesting part of the technology of all of this.;N
We do oversight, but in this case we are all on the same side in the national interest, and therefore we are pushing like you are pushing, and we want to hear how you are pushing, understanding that neither of us want no for an answer.;N
With that, if the Ranking Member, or obviously, the Chairman of the Full Committee want to make a statement, or anybody else, I would be happy to have that, and then we will hear from you gentlemen.;N
We welcome our colleague Senator Specter, who has an interest in this particular hearing, to sit with the Committee and participate.;N
We have got it cleared now by the Department of Transportation and by the Office of Management and Budget.;N
But we have got political machinations going on the floor and we know that bin Laden and his terrorist group came into the port of Mombassa, offloaded their terrorists and their explosives, blew up the embassies in both Kenya and Tanzania, and that could happen to us very easily because we do not have any port security and we have got to move this as expeditiously as we possibly can.;N
In that light, we have not, in this Senator's judgment, moved as expeditiously on airline security.;N
We wasted a month on this side of the Capitol trying to put employees, airline employees that we thought we had taken care of under the bailout, on the airline security bill, and we wasted another month over on the House side with Mr. DeLay calling up the lobbyists and saying: Come on up and please lobby us and help us get the votes for what the House voted on almost unanimously, only 9 dissenting votes, for.;N
What nettles this particular Senator is the constant PR coming out of the Department of Transportation how difficult it is, how we are never going to be able to get it, how we cannot do this and we cannot do that.;N
I am going to travel again this weekend, as I have almost every weekend this year, in air travel, and I do not like to be delayed.;N
But foremost now, and that has got to be in our minds, is the security and the checking of that baggage, as well as the securing of that airplane itself.;N
We know it is tough all the way around, and let us see how it works out and we are going to be working together on it.;N
But tell whoever is putting it out that, whatever it is, he cannot get the equipment, he cannot do this, he cannot do that, we want to know what can be done.;N
In that light, just tell DOT's PR person to take a weekend off, come back, and say: We are doing all we possibly can.;N
That is what we want to know, and then we will check to see that that is a true statement.;N
